LineId,Timestamp,Component,Operation,ResponseTime_ms,MemoryUsage_MB,ThreadCount,RequestID,Message
1,2025-07-23 15:06:50,Queue,UpdateUser,231,269,14,REQ-23104,REQ-23104 UpdateUser executed successfully on Queue
2,2025-07-23 12:42:50,Database,CacheData,265,353,11,REQ-58520,REQ-58520 Database CacheData - no issues detected
3,2025-07-23 15:13:20,WebAPI,ProcessOrder,140,265,14,REQ-67433,WebAPI completed ProcessOrder with normal performance
4,2025-07-23 13:23:50,WebAPI,CacheData,223,219,12,REQ-30730,REQ-30730 WebAPI CacheData - no issues detected
5,2025-07-23 12:58:20,WebAPI,RunJob,222,280,17,REQ-51245,WebAPI service processed RunJob request
6,2025-07-23 15:23:20,Scheduler,RunJob,172,326,11,REQ-89276,Scheduler service processed RunJob request
7,2025-07-23 15:14:50,Database,SendNotification,233,276,9,REQ-90173,REQ-90173 SendNotification executed successfully on Database
8,2025-07-23 13:08:20,WebAPI,RunJob,321,256,11,REQ-28131,WebAPI completed RunJob with normal performance
9,2025-07-23 12:40:20,Queue,RunJob,243,246,14,REQ-46434,REQ-46434 Queue RunJob - no issues detected
10,2025-07-23 15:51:20,Database,UpdateUser,2607,626,32,REQ-80236,FAILED: Database connection lost during UpdateUser
11,2025-07-23 12:10:50,Scheduler,CacheData,190,331,7,REQ-81482,REQ-81482 CacheData executed successfully on Scheduler
12,2025-07-23 13:43:20,Queue,RunJob,171,250,11,REQ-72296,REQ-72296 RunJob executed successfully on Queue
13,2025-07-23 15:29:20,WebAPI,CacheData,220,154,9,REQ-65518,REQ-65518 CacheData executed successfully on WebAPI
14,2025-07-23 12:48:20,WebAPI,CacheData,230,184,13,REQ-80010,"Operation CacheData finished, WebAPI status: healthy"
15,2025-07-23 15:11:50,Queue,SendNotification,209,295,15,REQ-58434,"Operation SendNotification finished, Queue status: healthy"
16,2025-07-23 15:20:20,WebAPI,CacheData,256,299,12,REQ-25129,WebAPI CacheData completed in 256ms
17,2025-07-23 16:13:50,Queue,UpdateUser,1203,337,8,REQ-85631,Queue UpdateUser completed
18,2025-07-23 12:21:20,Cache,ProcessOrder,234,221,15,REQ-10851,Cache service processed ProcessOrder request
19,2025-07-23 14:44:20,Cache,UpdateUser,231,278,9,REQ-75909,REQ-75909 Cache UpdateUser - no issues detected
20,2025-07-23 15:30:20,Scheduler,ProcessOrder,141,209,16,REQ-15778,"Operation ProcessOrder finished, Scheduler status: healthy"
21,2025-07-23 16:11:20,Cache,RunJob,588,501,22,REQ-24953,Cache RunJob executed normally
22,2025-07-23 16:11:50,Scheduler,UpdateUser,593,641,17,REQ-18564,Scheduler UpdateUser executed normally
23,2025-07-23 14:26:20,Database,RunJob,232,259,13,REQ-95477,Database service processed RunJob request
24,2025-07-23 15:04:20,Queue,CacheData,209,391,11,REQ-19508,"Operation CacheData finished, Queue status: healthy"
25,2025-07-23 12:44:20,WebAPI,RunJob,220,247,19,REQ-97841,WebAPI service processed RunJob request
26,2025-07-23 15:56:50,Cache,CacheData,2128,1096,22,REQ-35443,FAILED: Unable to complete CacheData on Cache
27,2025-07-23 16:14:50,WebAPI,RunJob,212,919,10,REQ-99974,WebAPI RunJob processed successfully
28,2025-07-23 13:51:50,Queue,UpdateUser,260,435,12,REQ-69177,REQ-69177 UpdateUser executed successfully on Queue
29,2025-07-23 12:56:50,WebAPI,UpdateUser,245,290,7,REQ-18675,"Operation UpdateUser finished, WebAPI status: healthy"
30,2025-07-23 14:53:20,Queue,RunJob,154,275,4,REQ-15209,REQ-15209 RunJob executed successfully on Queue
31,2025-07-23 16:03:50,Database,SendNotification,400,415,21,REQ-26551,Database SendNotification executed normally
32,2025-07-23 14:54:20,WebAPI,UpdateUser,188,339,18,REQ-20745,REQ-20745 WebAPI UpdateUser - no issues detected
33,2025-07-23 15:46:20,WebAPI,UpdateUser,126,349,9,REQ-23473,WebAPI service processed UpdateUser request
34,2025-07-23 13:32:50,Queue,SendNotification,216,310,9,REQ-79514,Queue completed SendNotification with normal performance
35,2025-07-23 12:07:20,Cache,RunJob,189,312,12,REQ-13278,REQ-13278 Cache RunJob - no issues detected
36,2025-07-23 14:52:50,Scheduler,CacheData,189,295,12,REQ-87924,REQ-87924 Scheduler CacheData - no issues detected
37,2025-07-23 15:30:50,Queue,CacheData,328,283,13,REQ-10464,"Operation CacheData finished, Queue status: healthy"
38,2025-07-23 12:41:20,WebAPI,SendNotification,156,396,17,REQ-93320,WebAPI service processed SendNotification request
39,2025-07-23 13:50:50,Queue,CacheData,194,163,15,REQ-67422,"Operation CacheData finished, Queue status: healthy"
40,2025-07-23 12:37:50,Database,SendNotification,165,376,14,REQ-47930,Database completed SendNotification with normal performance
41,2025-07-23 15:18:20,Scheduler,RunJob,301,228,8,REQ-96951,Scheduler completed RunJob with normal performance
42,2025-07-23 12:52:50,Cache,SendNotification,198,221,14,REQ-99733,REQ-99733 Cache SendNotification - no issues detected
43,2025-07-23 16:08:50,Queue,CacheData,1139,308,10,REQ-54657,Queue CacheData completed
44,2025-07-23 13:38:50,Queue,ProcessOrder,231,271,18,REQ-84364,"Operation ProcessOrder finished, Queue status: healthy"
45,2025-07-23 12:22:50,WebAPI,RunJob,271,485,11,REQ-54597,"Operation RunJob finished, WebAPI status: healthy"
46,2025-07-23 12:44:50,Queue,ProcessOrder,180,202,10,REQ-44993,REQ-44993 Queue ProcessOrder - no issues detected
47,2025-07-23 12:06:20,Queue,CacheData,319,306,10,REQ-93810,Queue CacheData completed in 319ms
48,2025-07-23 12:11:50,Cache,UpdateUser,224,378,13,REQ-87397,Cache UpdateUser completed in 224ms
49,2025-07-23 15:33:50,Scheduler,RunJob,201,373,8,REQ-67912,REQ-67912 Scheduler RunJob - no issues detected
50,2025-07-23 12:17:20,Queue,UpdateUser,288,442,8,REQ-36062,Queue UpdateUser completed in 288ms
51,2025-07-23 12:42:20,Scheduler,SendNotification,169,408,11,REQ-31319,Scheduler SendNotification completed in 169ms
52,2025-07-23 13:37:20,WebAPI,SendNotification,147,307,16,REQ-41385,"Operation SendNotification finished, WebAPI status: healthy"
53,2025-07-23 13:11:50,Scheduler,RunJob,188,310,18,REQ-92240,REQ-92240 Scheduler RunJob - no issues detected
54,2025-07-23 15:31:20,Database,ProcessOrder,139,292,11,REQ-53719,Database completed ProcessOrder with normal performance
55,2025-07-23 13:42:50,Database,CacheData,71,346,8,REQ-96474,REQ-96474 Database CacheData - no issues detected
56,2025-07-23 12:33:50,WebAPI,ProcessOrder,209,218,14,REQ-91070,WebAPI completed ProcessOrder with normal performance
57,2025-07-23 13:20:20,Database,RunJob,200,354,8,REQ-80381,REQ-80381 Database RunJob - no issues detected
58,2025-07-23 12:15:20,WebAPI,ProcessOrder,186,401,17,REQ-76237,WebAPI service processed ProcessOrder request
59,2025-07-23 13:48:20,Queue,RunJob,183,265,3,REQ-50857,Queue completed RunJob with normal performance
60,2025-07-23 12:45:20,Queue,RunJob,138,403,11,REQ-99593,Queue RunJob completed in 138ms
61,2025-07-23 16:13:20,Cache,CacheData,188,311,42,REQ-19710,Cache CacheData finished successfully
62,2025-07-23 14:17:20,Scheduler,UpdateUser,245,329,16,REQ-54473,Scheduler completed UpdateUser with normal performance
63,2025-07-23 14:47:50,WebAPI,UpdateUser,247,457,10,REQ-18981,WebAPI service processed UpdateUser request
64,2025-07-23 16:07:50,WebAPI,ProcessOrder,915,614,22,REQ-72746,WebAPI ProcessOrder executed normally
65,2025-07-23 12:45:50,Queue,RunJob,145,392,12,REQ-94939,REQ-94939 Queue RunJob - no issues detected
66,2025-07-23 12:25:50,Database,UpdateUser,252,274,10,REQ-22156,Database service processed UpdateUser request
67,2025-07-23 15:51:50,Scheduler,SendNotification,2070,1041,17,REQ-34267,FAILED: SendNotification on Scheduler - insufficient resources
68,2025-07-23 12:29:20,Database,CacheData,197,357,9,REQ-15695,"Operation CacheData finished, Database status: healthy"
69,2025-07-23 14:05:20,Scheduler,ProcessOrder,156,220,12,REQ-80678,REQ-80678 Scheduler ProcessOrder - no issues detected
70,2025-07-23 15:21:50,Scheduler,RunJob,138,272,14,REQ-30374,REQ-30374 RunJob executed successfully on Scheduler
71,2025-07-23 15:02:20,WebAPI,SendNotification,176,257,12,REQ-94607,WebAPI SendNotification completed in 176ms
72,2025-07-23 14:56:50,Queue,RunJob,251,286,9,REQ-78522,Queue completed RunJob with normal performance
73,2025-07-23 14:24:50,Cache,UpdateUser,249,309,11,REQ-82132,Cache service processed UpdateUser request
74,2025-07-23 14:31:20,Cache,UpdateUser,106,348,11,REQ-62565,REQ-62565 UpdateUser executed successfully on Cache
75,2025-07-23 14:44:50,Database,RunJob,322,272,10,REQ-79615,Database RunJob completed in 322ms
76,2025-07-23 14:38:20,Cache,CacheData,195,326,7,REQ-34890,REQ-34890 Cache CacheData - no issues detected
77,2025-07-23 14:20:20,Scheduler,UpdateUser,272,234,10,REQ-68800,REQ-68800 UpdateUser executed successfully on Scheduler
78,2025-07-23 12:40:50,Queue,CacheData,153,291,11,REQ-69429,REQ-69429 CacheData executed successfully on Queue
79,2025-07-23 15:53:50,Scheduler,UpdateUser,2392,1145,28,REQ-46241,FAILED: Scheduler connection lost during UpdateUser
80,2025-07-23 15:58:50,Cache,ProcessOrder,1891,583,19,REQ-33519,FAILED: ProcessOrder on Cache - insufficient resources
81,2025-07-23 13:23:20,Cache,CacheData,234,358,13,REQ-66985,REQ-66985 Cache CacheData - no issues detected
82,2025-07-23 12:47:20,Scheduler,UpdateUser,269,325,13,REQ-93227,Scheduler service processed UpdateUser request
83,2025-07-23 16:04:50,Database,CacheData,1578,288,6,REQ-74340,Database CacheData completed
84,2025-07-23 13:32:20,Database,SendNotification,199,202,11,REQ-80697,Database completed SendNotification with normal performance
85,2025-07-23 14:46:50,Database,ProcessOrder,199,307,15,REQ-20500,Database completed ProcessOrder with normal performance
86,2025-07-23 12:51:20,Cache,ProcessOrder,196,335,10,REQ-93886,REQ-93886 ProcessOrder executed successfully on Cache
87,2025-07-23 13:36:20,WebAPI,RunJob,230,283,9,REQ-57576,"Operation RunJob finished, WebAPI status: healthy"
88,2025-07-23 15:33:20,WebAPI,CacheData,181,347,13,REQ-31178,REQ-31178 WebAPI CacheData - no issues detected
89,2025-07-23 14:42:20,Database,RunJob,225,388,12,REQ-17492,REQ-17492 RunJob executed successfully on Database
90,2025-07-23 14:25:20,Cache,CacheData,212,306,10,REQ-22833,Cache service processed CacheData request
91,2025-07-23 15:16:50,Scheduler,CacheData,248,228,15,REQ-97538,REQ-97538 CacheData executed successfully on Scheduler
92,2025-07-23 16:02:20,WebAPI,UpdateUser,176,1462,12,REQ-17146,WebAPI UpdateUser processed successfully
93,2025-07-23 15:07:20,Queue,ProcessOrder,278,357,14,REQ-19602,"Operation ProcessOrder finished, Queue status: healthy"
94,2025-07-23 14:48:20,WebAPI,UpdateUser,268,354,9,REQ-87992,WebAPI completed UpdateUser with normal performance
95,2025-07-23 15:41:50,WebAPI,RunJob,141,314,10,REQ-15482,WebAPI completed RunJob with normal performance
96,2025-07-23 14:59:50,WebAPI,UpdateUser,231,211,7,REQ-41285,WebAPI service processed UpdateUser request
97,2025-07-23 12:49:20,WebAPI,CacheData,154,417,5,REQ-31417,"Operation CacheData finished, WebAPI status: healthy"
98,2025-07-23 12:43:50,Database,SendNotification,175,257,12,REQ-37460,Database completed SendNotification with normal performance
99,2025-07-23 15:45:20,Queue,UpdateUser,183,239,12,REQ-42706,REQ-42706 Queue UpdateUser - no issues detected
100,2025-07-23 12:13:50,Database,UpdateUser,222,370,10,REQ-22280,REQ-22280 UpdateUser executed successfully on Database
101,2025-07-23 14:10:50,Cache,UpdateUser,173,268,18,REQ-96374,Cache service processed UpdateUser request
102,2025-07-23 15:42:50,Cache,CacheData,280,247,11,REQ-57795,"Operation CacheData finished, Cache status: healthy"
103,2025-07-23 12:15:50,Queue,SendNotification,230,272,12,REQ-88907,Queue service processed SendNotification request
104,2025-07-23 14:47:20,Database,SendNotification,195,256,10,REQ-34356,Database SendNotification completed in 195ms
105,2025-07-23 14:52:20,WebAPI,ProcessOrder,225,293,11,REQ-85880,REQ-85880 WebAPI ProcessOrder - no issues detected
106,2025-07-23 12:34:20,Queue,SendNotification,71,259,11,REQ-57400,REQ-57400 SendNotification executed successfully on Queue
107,2025-07-23 14:36:50,Scheduler,SendNotification,202,203,18,REQ-96752,REQ-96752 SendNotification executed successfully on Scheduler
108,2025-07-23 14:00:50,Queue,RunJob,110,284,8,REQ-14117,"Operation RunJob finished, Queue status: healthy"
109,2025-07-23 14:51:50,Database,ProcessOrder,198,96,10,REQ-42271,Database completed ProcessOrder with normal performance
110,2025-07-23 13:12:20,Queue,ProcessOrder,158,275,8,REQ-30969,Queue service processed ProcessOrder request
111,2025-07-23 13:14:50,Database,ProcessOrder,91,359,9,REQ-60432,Database ProcessOrder completed in 91ms
112,2025-07-23 15:37:50,Database,SendNotification,215,193,12,REQ-81511,REQ-81511 Database SendNotification - no issues detected
113,2025-07-23 14:53:50,Database,ProcessOrder,248,318,7,REQ-91183,Database ProcessOrder completed in 248ms
114,2025-07-23 12:18:50,Cache,RunJob,240,178,6,REQ-64987,"Operation RunJob finished, Cache status: healthy"
115,2025-07-23 15:58:20,Scheduler,CacheData,2212,1243,17,REQ-57301,FAILED: Scheduler connection lost during CacheData
116,2025-07-23 14:26:50,Scheduler,RunJob,191,331,14,REQ-80855,"Operation RunJob finished, Scheduler status: healthy"
117,2025-07-23 14:09:50,WebAPI,UpdateUser,180,181,13,REQ-22363,WebAPI UpdateUser completed in 180ms
118,2025-07-23 14:04:50,Queue,ProcessOrder,250,261,10,REQ-38080,REQ-38080 Queue ProcessOrder - no issues detected
119,2025-07-23 13:04:50,Cache,RunJob,93,317,10,REQ-44438,Cache completed RunJob with normal performance
120,2025-07-23 12:27:20,Queue,SendNotification,248,383,15,REQ-57052,Queue service processed SendNotification request
121,2025-07-23 13:56:20,Database,CacheData,214,248,8,REQ-40161,"Operation CacheData finished, Database status: healthy"
122,2025-07-23 13:34:20,Cache,SendNotification,285,397,12,REQ-52487,"Operation SendNotification finished, Cache status: healthy"
123,2025-07-23 14:46:20,Database,RunJob,208,342,16,REQ-76562,Database RunJob completed in 208ms
124,2025-07-23 13:22:50,WebAPI,SendNotification,164,356,10,REQ-48469,REQ-48469 SendNotification executed successfully on WebAPI
125,2025-07-23 14:01:50,WebAPI,RunJob,280,278,11,REQ-19287,WebAPI RunJob completed in 280ms
126,2025-07-23 13:59:50,Database,CacheData,182,325,12,REQ-40007,Database CacheData completed in 182ms
127,2025-07-23 15:34:50,Database,RunJob,246,305,13,REQ-66057,"Operation RunJob finished, Database status: healthy"
128,2025-07-23 13:47:50,WebAPI,RunJob,189,246,7,REQ-36365,WebAPI service processed RunJob request
129,2025-07-23 13:09:20,Scheduler,UpdateUser,171,348,15,REQ-74686,REQ-74686 Scheduler UpdateUser - no issues detected
130,2025-07-23 14:50:50,Database,ProcessOrder,164,321,7,REQ-25713,REQ-25713 ProcessOrder executed successfully on Database
131,2025-07-23 12:21:50,Queue,SendNotification,83,371,12,REQ-30926,REQ-30926 Queue SendNotification - no issues detected
132,2025-07-23 13:02:50,Cache,SendNotification,119,152,16,REQ-28301,"Operation SendNotification finished, Cache status: healthy"
133,2025-07-23 16:01:20,Cache,RunJob,1882,238,9,REQ-45954,Cache RunJob completed
134,2025-07-23 14:21:50,WebAPI,CacheData,269,288,10,REQ-34050,WebAPI CacheData completed in 269ms
135,2025-07-23 13:16:20,WebAPI,ProcessOrder,328,320,11,REQ-71348,WebAPI completed ProcessOrder with normal performance
136,2025-07-23 12:34:50,Database,SendNotification,180,162,15,REQ-85674,Database service processed SendNotification request
137,2025-07-23 13:42:20,Queue,RunJob,196,303,5,REQ-26828,"Operation RunJob finished, Queue status: healthy"
138,2025-07-23 12:18:20,WebAPI,CacheData,212,278,9,REQ-81426,REQ-81426 CacheData executed successfully on WebAPI
139,2025-07-23 12:14:50,Scheduler,CacheData,135,389,14,REQ-40495,"Operation CacheData finished, Scheduler status: healthy"
140,2025-07-23 14:18:50,WebAPI,SendNotification,197,263,12,REQ-35112,WebAPI SendNotification completed in 197ms
141,2025-07-23 12:39:20,Database,UpdateUser,238,257,10,REQ-23238,REQ-23238 Database UpdateUser - no issues detected
142,2025-07-23 13:50:20,Queue,ProcessOrder,218,328,7,REQ-58944,REQ-58944 ProcessOrder executed successfully on Queue
143,2025-07-23 16:05:50,Scheduler,SendNotification,581,492,24,REQ-11607,Scheduler SendNotification executed normally
144,2025-07-23 12:53:20,WebAPI,ProcessOrder,177,384,9,REQ-52504,"Operation ProcessOrder finished, WebAPI status: healthy"
145,2025-07-23 14:12:50,Cache,SendNotification,170,315,13,REQ-63883,REQ-63883 Cache SendNotification - no issues detected
146,2025-07-23 14:19:20,Queue,UpdateUser,73,337,12,REQ-34931,REQ-34931 Queue UpdateUser - no issues detected
147,2025-07-23 12:17:50,WebAPI,RunJob,180,274,11,REQ-95181,REQ-95181 WebAPI RunJob - no issues detected
148,2025-07-23 13:57:20,Cache,RunJob,214,341,9,REQ-38864,REQ-38864 RunJob executed successfully on Cache
149,2025-07-23 14:16:50,Cache,RunJob,264,424,8,REQ-62772,Cache completed RunJob with normal performance
150,2025-07-23 15:39:20,WebAPI,ProcessOrder,244,292,12,REQ-86350,REQ-86350 WebAPI ProcessOrder - no issues detected
151,2025-07-23 12:08:50,Database,UpdateUser,232,391,11,REQ-39256,REQ-39256 Database UpdateUser - no issues detected
152,2025-07-23 13:04:20,Database,CacheData,177,172,10,REQ-80644,REQ-80644 CacheData executed successfully on Database
153,2025-07-23 12:28:50,WebAPI,ProcessOrder,178,394,15,REQ-44671,WebAPI completed ProcessOrder with normal performance
154,2025-07-23 12:14:20,Queue,UpdateUser,232,293,9,REQ-38657,REQ-38657 UpdateUser executed successfully on Queue
155,2025-07-23 15:57:20,WebAPI,ProcessOrder,2299,630,24,REQ-48829,FAILED: ProcessOrder on WebAPI - insufficient resources
156,2025-07-23 15:04:50,Scheduler,CacheData,192,380,10,REQ-11220,Scheduler service processed CacheData request
157,2025-07-23 12:07:50,Scheduler,RunJob,207,352,13,REQ-46048,Scheduler service processed RunJob request
158,2025-07-23 13:55:20,WebAPI,UpdateUser,197,319,13,REQ-87110,WebAPI completed UpdateUser with normal performance
159,2025-07-23 15:28:50,Scheduler,SendNotification,232,330,13,REQ-93136,Scheduler SendNotification completed in 232ms
160,2025-07-23 12:36:20,Database,CacheData,235,271,16,REQ-16006,"Operation CacheData finished, Database status: healthy"
161,2025-07-23 13:01:20,WebAPI,ProcessOrder,171,402,14,REQ-70142,REQ-70142 WebAPI ProcessOrder - no issues detected
162,2025-07-23 14:45:20,Database,RunJob,205,267,16,REQ-30635,REQ-30635 RunJob executed successfully on Database
163,2025-07-23 15:40:20,Scheduler,RunJob,214,301,6,REQ-29410,Scheduler service processed RunJob request
164,2025-07-23 12:20:50,Queue,RunJob,249,295,12,REQ-46463,Queue service processed RunJob request
165,2025-07-23 15:44:50,Cache,RunJob,242,277,5,REQ-99399,Cache service processed RunJob request
166,2025-07-23 16:01:50,Scheduler,CacheData,256,289,36,REQ-15965,Scheduler CacheData finished successfully
167,2025-07-23 12:19:20,Cache,SendNotification,83,334,14,REQ-38893,Cache service processed SendNotification request
